x_ft,y_ft,Kxx,Kxy,Kyy
9.720223695600241190e+05,1.902657950465848553e+05,nan,nan,nan
9.769759332484144252e+05,1.888539390157380840e+05,nan,nan,nan
9.769494346738321474e+05,1.892771216418476251e+05,nan,nan,nan
9.771392281747594243e+05,1.887745008659280138e+05,3.675063417737053584e+01,-3.543911483679175234e+01,6.913464110244936478e+01
9.774338762445867760e+05,1.885034833664042817e+05,nan,nan,nan
9.776676574556028936e+05,1.885049959660714376e+05,nan,nan,nan
9.772828848985671066e+05,1.896563912337959628e+05,5.316056930923811308e+01,6.674471885040398433e+01,8.380715382467343488e+01
9.775799219182345551e+05,1.893020141120826593e+05,4.294868687558542319e+01,4.642269575398307069e+01,5.017770828034199582e+01
9.775895758872170700e+05,1.894006154606505879e+05,nan,nan,nan
9.778810120645079296e+05,1.897844928401393699e+05,nan,nan,nan
9.778907411415990209e+05,1.889413944408236130e+05,2.838187011884307509e+01,-4.969941194632757409e+00,2.588240410870151109e+01
9.780138686935047153e+05,1.899139873243446928e+05,nan,nan,nan
9.781534814012130955e+05,1.888406654503433965e+05,2.257988228066196541e+02,6.412697635348222036e+01,1.088813934976498672e+02
9.783383295583418803e+05,1.889614300276469148e+05,6.761929588116248624e+01,2.760943803878855007e+01,3.188942331061863555e+01
9.781981866218651412e+05,1.891066008535370638e+05,6.393343092113143200e+01,4.191579041680716955e+01,5.413555424901019819e+01
9.784323341801024508e+05,1.893190147506657522e+05,1.988796129703405029e+02,1.547611836599560036e+02,1.505897637754462153e+02
9.787478988686501980e+05,1.892143488516475772e+05,7.318950272939919444e+01,3.809735013724361608e+01,2.857008521132602041e+01
9.792284424102986231e+05,1.899078904768299544e+05,2.122496445809986199e+01,4.284367385495968961e+00,1.921457577950068796e+01
9.792465305864497786e+05,1.896683545638400246e+05,1.500977353026222971e+01,7.010750169718769520e+00,1.232745943393531007e+01
9.794030679490640759e+05,1.896382159939207195e+05,2.289454149589767695e+01,3.139293794398302584e+00,1.621544316843596789e+01
