x_ft,y_ft,Kxx,Kxy,Kyy
9.771392281747594243e+05,1.887745008659280138e+05,7.583551265141480610e-04,-1.041179371453162215e-03,1.429481315070107398e-03
9.772828848985671066e+05,1.896563912337959628e+05,5.047844218282087399e-04,6.299745988367105214e-04,7.862128425875607044e-04
9.775799219182345551e+05,1.893020141120826593e+05,4.876891400425339228e-19,0.000000000000000000e+00,-9.753782800850678456e-19
9.778907411415990209e+05,1.889413944408236130e+05,3.644681204646049733e-07,1.065442539654448741e-05,3.114587371477577906e-04
9.781534814012130955e+05,1.888406654503433965e+05,1.073636742605563838e-03,6.925790021613006768e-04,2.118144286332374233e-03
9.783383295583418803e+05,1.889614300276469148e+05,1.251917519075313508e-03,3.924879677014277905e-04,3.393645655110925289e-04
9.781981866218651412e+05,1.891066008535370638e+05,9.150436688054208083e-04,7.347654772343884715e-04,9.931074809101415879e-04
9.784323341801024508e+05,1.893190147506657522e+05,3.843917606343472040e-03,2.871849081187163432e-03,2.535309847818628150e-03
9.787478988686501980e+05,1.892143488516475772e+05,1.081602209778393308e-03,5.906376179548463411e-04,4.260202140001269084e-04
9.792284424102986231e+05,1.899078904768299544e+05,9.391612148969799741e-04,-7.699417704348022248e-04,1.658136351014702489e-03
9.792465305864497786e+05,1.896683545638400246e+05,1.102466607225978997e-03,-1.067934923779158187e-03,1.240466126942748161e-03
9.794030679490640759e+05,1.896382159939207195e+05,1.057157573146629307e-03,-9.749622735387516613e-04,1.426951700434666952e-03
9.795324033456664765e+05,1.895929903898178018e+05,1.047923744211542475e-02,4.126170115007626871e-03,8.551933599973905037e-03
9.796599449315373786e+05,1.898210036050826311e+05,5.531819616038512622e-04,-3.600501036187014523e-04,9.586279281761310965e-04
9.797782592023249017e+05,1.897402720859181136e+05,4.937391595597586183e-03,-2.123533942593204030e-06,2.921048894325480733e-03
9.776006158427731134e+05,1.900239291632171662e+05,2.134117868664237375e-03,2.633598794116350818e-03,3.249981039103666796e-03
9.777294240225392859e+05,1.901803242775945400e+05,1.077720913467657203e-04,1.329043660051178015e-04,1.638974458274945571e-04
9.780543479266138747e+05,1.905101387591752864e+05,2.676099306987834886e-05,3.283023240469741787e-05,4.027594031850865514e-05
9.783551094651799649e+05,1.908192950748035219e+05,1.479628055318365316e-03,-8.751723659939042530e-04,1.243892658590645258e-03
9.783142746569429291e+05,1.909175558179891377e+05,4.076808684654416510e-04,3.163522587820354965e-05,1.896250283645803392e-03
9.784776793918409385e+05,1.907398348360954842e+05,1.023064099390611154e-03,-5.440178548104638873e-04,1.977706253305898908e-03
9.788309823002894409e+05,1.909413722072677047e+05,2.305908280914857958e-03,-5.679226986807107410e-05,1.568626955098166185e-03
9.785531285468027927e+05,1.911940047601056285e+05,1.352893267323284580e-03,6.721004736683572692e-04,1.646247054705543252e-03
9.786710889477931196e+05,1.911522142650613096e+05,3.974347662054973813e-03,-1.214334124812148320e-03,1.206016944942743920e-03
9.787392066029752605e+05,1.910733617588746420e+05,7.356512318572934472e-03,-3.759577195801972783e-03,2.436832821072245237e-03
9.789107864860810805e+05,1.910241606973916641e+05,2.891573375009185310e-03,1.543229212933570644e-03,1.285934859444068509e-03
9.789086279007969424e+05,1.917752099514899601e+05,1.130408077108065656e-03,3.611446054807744967e-04,1.153790641708196126e-04
9.789383426033247961e+05,1.911530767642108840e+05,2.356726414641338151e-03,1.006152681363720394e-03,1.792610617177403838e-03
9.789891777215632610e+05,1.916264541788251372e+05,8.111534831361156455e-04,7.857291354629651571e-04,2.208849854552461488e-03
9.791395259656008566e+05,1.900463952504474437e+05,1.409230218333148901e-03,-8.536898214117123350e-04,1.354893275157330540e-03
9.791412310487583745e+05,1.905906300414584402e+05,1.573236726822978748e-03,4.258576174492744609e-04,9.502800614925636068e-04
9.792424468162445119e+05,1.907011498815402447e+05,8.883417175358886001e-05,1.503388341382344193e-04,7.008981596703078290e-04
9.793389670908751432e+05,1.903889612350478128e+05,7.684989104927118786e-05,-9.340639555135364083e-05,1.224310932956657559e-04
9.794811706957065035e+05,1.901550146727776737e+05,9.939134619618003250e-04,4.876617975643980077e-04,7.759046569397198573e-04
9.795678780145951314e+05,1.900011050704026420e+05,1.450213207443761714e-03,-2.684645542509949225e-04,7.255077823466333500e-04
9.797370396840359317e+05,1.900658491199205746e+05,3.057417294205932827e-03,-1.442102026937219393e-03,9.643539460278420430e-04
9.796897824396031210e+05,1.902967657992244931e+05,1.758164911202705894e-04,1.616691146705308561e-04,1.215328675404509775e-03
9.790839950742769288e+05,1.910520700144278526e+05,4.340831347121741797e-04,-3.223024060733346852e-04,4.323768698219565359e-04
9.789638196503379149e+05,1.914545955862697156e+05,4.444493412311573436e-04,-4.367118584328817991e-04,1.705054725404757865e-03
9.791532136059656041e+05,1.913466588472033036e+05,7.438187545672923697e-04,-8.974205141519211353e-04,6.323009693932006570e-03
9.792680451134212781e+05,1.914484248102225247e+05,3.972349658644784023e-04,4.208532291186918507e-04,1.485758000347012567e-03
9.792548979820514796e+05,1.916529131821879710e+05,2.195954006664222954e-03,5.558828533296556905e-04,9.144577984494944856e-04
9.795433140566416550e+05,1.916368664692115854e+05,5.387088303263873378e-04,-4.287600717399765162e-04,3.412515050237613519e-04
9.794329413163154386e+05,1.918143405144898570e+05,9.774580381239261675e-04,-6.128278713450775045e-04,3.842190510992801776e-04
9.798375406950372271e+05,1.911003316323727777e+05,0.000000000000000000e+00,3.999773055450712081e-20,-2.499858159656695051e-21
9.799656320613200078e+05,1.916717690701481188e+05,5.486486066974932164e-03,-9.132233565316054619e-04,1.099037345839934355e-03
9.792773105569243198e+05,1.965485824518827430e+05,6.390206611547121049e-05,1.100499498941489505e-04,7.054320295325842548e-04
9.792598480816979427e+05,1.968862858806974837e+05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.794029334616695996e+05,1.967797220041791734e+05,9.931544474149596805e-04,-3.736254344212860414e-04,1.190333314720627179e-03
9.793867450940703275e+05,1.970741851767131593e+05,-2.142108849790567195e-19,1.071054424895283597e-19,-5.355272124476417987e-20
9.795207882160280133e+05,1.970173272723093105e+05,7.113048893959103862e-04,-1.618757607791979850e-04,5.805607274870512157e-04
9.796743842398276320e+05,1.960527782446798519e+05,2.322780017672830891e-02,3.993786374412487163e-03,6.866913561803110640e-04
9.799133830984859960e+05,1.961490678661015700e+05,8.061874218701173614e-03,5.571202682526663150e-04,8.524781054221467966e-03
9.792500566402979894e+05,1.974967039534225769e+05,4.202040690092815841e-20,0.000000000000000000e+00,0.000000000000000000e+00
9.793055859952347819e+05,1.976689523756061972e+05,1.186483931594739370e-04,-1.913555404196230195e-04,3.086172671556501579e-04
9.793664416607540334e+05,1.978398483649199479e+05,2.808702127804299530e-04,1.133294372975707524e-04,4.572774460859072601e-05
9.793488320701491321e+05,1.972392661957496894e+05,0.000000000000000000e+00,5.265238904095831362e-20,1.053047780819166272e-19
9.794317463988495292e+05,1.973979851253336237e+05,7.638707424959048642e-04,1.663399369176034987e-04,1.039865938330165364e-03
9.796248212376702577e+05,1.972812006768111023e+05,7.154194268245655077e-04,-3.132868149574491489e-04,2.938576648276525812e-04
9.795086971045242390e+05,1.975879824603661546e+05,8.965132785394078338e-04,8.653418639581057347e-04,2.005091846011909044e-03
9.796014263610731578e+05,1.977595074261745904e+05,4.223747076631865051e-04,4.161413026973119034e-04,1.056358872835438988e-03
9.797208769125998951e+05,1.979742363251332426e+05,2.434689440019423647e-04,7.150112483725230307e-05,3.840113025833457152e-04
9.797945819653982762e+05,1.974589500281763612e+05,6.601237888789508604e-04,3.143701453254165909e-04,1.497122054028054473e-04
9.798014797731456347e+05,1.976845351282365446e+05,8.590392557953682306e-05,-1.742484062175467447e-04,3.534472594182336454e-04
9.793934195135742193e+05,1.980709863522969245e+05,-1.460578003342125473e-20,0.000000000000000000e+00,0.000000000000000000e+00
9.798593162178988568e+05,1.985225939186514879e+05,6.718453633864683930e-04,1.186098129870291807e-04,3.483242801683984497e-03
9.795861045595286414e+05,1.994322774317295116e+05,-5.675851010298943373e-20,-1.135170202059788675e-19,-2.270340404119577349e-19
9.796311331317860167e+05,1.999123999799828161e+05,5.753271247220408168e-05,-2.013675207051003873e-04,7.047969173104675408e-04
9.797777862132256851e+05,1.997212140797088796e+05,1.179597530174325559e-02,6.464155610838194987e-04,1.158338368134055260e-02
9.798540888293634634e+05,1.998053866253788874e+05,4.738691736135073316e-04,6.005857481392248842e-04,1.242698366539186135e-03
9.799178179062535055e+05,1.999353757902664947e+05,6.907411464855588504e-04,1.021461984738888289e-03,1.862451110705854200e-03
9.802111463080804097e+05,1.897806454229694791e+05,9.592170350474352788e-04,6.691193836702697371e-04,4.667564620358728060e-04
9.801849588380334899e+05,1.898956178526048025e+05,2.209923705381325754e-03,-2.227372521366978648e-04,1.524647377799897771e-03
9.801271837094019866e+05,1.899544093491268286e+05,2.490789393058631847e-03,-3.151973081020192045e-03,3.988668946143236575e-03
9.802528917784566293e+05,1.899753501437205123e+05,5.725107572793848923e-03,5.223635126489356226e-03,4.766087551675076729e-03
